fullname,nickname,year,make,model,specialAccess,dlcPack,rewardOrGift,directAccess,carValue,rarity,feBoost,carType,spec,class,pi,speed,handling,acceleration,launch,braking,offroad,hp,torque,weight,weightPerHp,weightDistribution,displ,aspiration,engineType,cylinders,enginePlacement,drive,rTireWidth,trackWidth,aeroorkitOptions,engineConversions(hp),pirwd,piawd,aspirationOptions,naturallyAspirated,region,country,modelFamily,openTop,doors,steering,wheels,nolights,carThemes,zeroToSixty,zeroToHundred,quarterMile,topSpeed,sixtyToZeroFeet,hundredToZeroFeet,gAtSixty,gAtHundred,sixtyToHundred,forzaDebut,unknown,latestgame,newtoForza,fh5,fh4,fm7,fh3,fm6,fh2,fm5,fh1,fm4,fm3,fm2,fm1,titlesCount,xboxgen
2017 Chevrolet #4 AJ Foyt Enterprises IndyCar,#4 Chevy IndyCar,2017,Chevrolet,#4 AJ Foyt Enterprises IndyCar,,,,,,,,IndyCar,Livery,X,999,8.7,8.9,9.8,,8.6,,680,298,1570,2.31,42,,TT,V,6,M,RWD,,,,,,,,no,N. America,U.S.,,Yes,1,C,4,,,3.5,5.4,9.467,239.3,86.9,194.4,1.74,2.4,1.9,10/3/2017,10,FM7,FM7,,,FM7,,,,,,,,,,1,XBO
2017 Chevrolet Camaro ZL1,Chevy Camaro '17,2017,Chevrolet,Camaro ZL1,Autoshow,,,,60000,Rare,,Modern Muscle,Factory,S1,821,7.3,7.2,6.1,4.9,5.6,4.8,650,650,3883,5.97,50,6161,PDS,V,8,F,RWD,305,no,Safety Lights / Hood,"800, 1500",,,TT,eng,N. America,U.S.,Camaro,,2,L,4,,,3.683,7.883,11.8,203.2,107.8,257.5,1.21,1.31,4.2,3/7/2017,9,FH5,FH3,FH5,FH4,FM7,DLC,,,,,,,,,4,XBO
2017 Chevrolet Camaro ZL1 Forza Edition,Camaro '17 FE,2017,Chevrolet,Camaro ZL1 Forza Edition,,,,,,,,Sport Touring,Upgraded,A,675,7,5.7,8.5,,5.6,,597,597,3964,6.64,50,,PDS,V,8,F,RWD,,,,,,,,eng,N. America,U.S.,Camaro,,2,L,4,,,3.7,7.9,11.8,187.6,138.6,330,1.23,1.27,4.2,10/3/2017,10,FM7,FM7,,,FE,,,,,,,,,,1,XBO
2017 Chevrolet Camaro ZL1 Preorder Car,Chevy Camaro PO,2017,Chevrolet,Camaro ZL1 Preorder Car,DLC promo,,,,60000,Rare,,Modern Muscle,Upgraded,S1,900,8.3,8.8,7.3,8.9,9.3,,650,650,2866,4.41,50,6440,PDS,V,8,F,RWD,305,no,Safety Lights / Hood,"640, 700, 750",900,921,none,eng,N. America,U.S.,Camaro,,2,L,4,,,3.715,7.919,,219.7,109.5,266.3,1.23,1.39,4.204,6/11/2018,11,FH4,FH4,,DLC,,,,,,,,,,,1,XBO
2017 Chevrolet Colorado ZR2,Chevrolet ZR2,2017,Chevrolet,Colorado ZR2,Autoshow,,,,46000,Common,,Pickups & 4x4s,Factory,C,530,5.4,3,3.9,3.4,3,8.2,308,275,4734,15.37,57,3564,NA,V,6,F,AWD,265,no,Rally lights / bed,"415, 850, 1750",,,"TT, PDS",stock,N. America,U.S.,,,4,L,4,,Heavy,6.1,17.083,14.333,147.6,158.2,380.2,0.83,0.82,10.983,,10,FH5,FM7,FH5,cu,DLC,,,,,,,,,,3,XBO
2017 Chevrolet Colorado ZR2 Traffic,,2017,Chevrolet,Colorado ZR2 Traffic,Horizon Promo,,,,,,,,Traffic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,FH5,FH5,HP,,,,,,,,,,,,1,XBO
2016 Chevrolet #1 Chip Ganassi Racing McDonald's Super Sport,#1 Ganassi Chevy,2016,Chevrolet,#1 Chip Ganassi Racing McDonald's Super Sport,,,,,,,,NASCAR,Race,,,7.7,6.9,8.7,,6.8,,725,450,3300,4.55,53,,NA,V,8,F,RWD,,,,,,,,stock,N. America,U.S.,,,2,L,4,,,4,7.5,,204.8,100.8,245.4,1.4,1.61,3.5,,8,FM6,FM6,,,,,DLC,,,,,,,,1,XBO
2016 Chevrolet #10 Stewart-Haas Racing Nature's Bakery Super Sport,#10 Haas Chevy,2016,Chevrolet,#10 Stewart-Haas Racing Nature's Bakery Super Sport,,,,,,,,NASCAR,Livery,,,7.7,6.9,8.7,,6.8,,725,450,3300,4.55,53,,NA,V,8,F,RWD,,,,,,,,stock,N. America,U.S.,,,2,L,4,,,4,7.5,,204.8,100.8,245.4,1.4,1.61,3.5,,8,FM6,FM6,,,,,DLC,,,,,,,,1,XBO
2016 Chevrolet #14 Stewart-Haas Racing Mobil 1 Super Sport,#14 Mobil1 Chevy,2016,Chevrolet,#14 Stewart-Haas Racing Mobil 1 Super Sport,,,,,,,,NASCAR,Livery,,,7.7,6.9,8.7,,6.8,,725,450,3300,4.55,53,,NA,V,8,F,RWD,,,,,,,,stock,N. America,U.S.,,,2,L,4,,,4,7.5,,204.8,100.8,245.4,1.4,1.61,3.5,,8,FM6,FM6,,,,,DLC,,,,,,,,1,XBO
2016 Chevrolet #24 Hendrick Motorsports NAPA Super Sport,#24 NAPA Chevy,2016,Chevrolet,#24 Hendrick Motorsports NAPA Super Sport,,,,,,,,NASCAR,Livery,,,7.7,6.9,8.7,,6.8,,725,450,3300,4.55,53,,NA,V,8,F,RWD,,,,,,,,stock,N. America,U.S.,,,2,L,4,,,4,7.5,,204.8,100.8,245.4,1.4,1.61,3.5,,8,FM6,FM6,,,,,DLC,,,,,,,,1,XBO
2016 Chevrolet #4 Stewart-Haas Racing Jimmy Johnâ€™s Super Sport,,2016,Chevrolet,#4 Stewart-Haas Racing Jimmy Johnâ€™s Super Sport,,,,,,,,NASCAR,Livery,,,7.7,6.9,8.7,,6.8,,725,450,3300,4.55,53,,NA,V,8,F,RWD,,,,,,,,stock,N. America,U.S.,,,2,L,4,,,4,7.5,,204.8,100.8,245.4,1.4,1.61,3.5,,8,FM6,FM6,,,,,DLC,,,,,,,,1,XBO
2016 Chevrolet #4 Stewart-Haas Racing Outback Steakhouse Super Sport,,2016,Chevrolet,#4 Stewart-Haas Racing Outback Steakhouse Super Sport,,,,,,,,NASCAR,Livery,,,7.7,6.9,8.7,,6.8,,725,450,3300,4.55,53,,NA,V,8,F,RWD,,,,,,,,stock,N. America,U.S.,,,2,L,4,,,4,7.5,,204.8,100.8,245.4,1.4,1.61,3.5,,8,FM6,FM6,,,,,DLC,,,,,,,,1,XBO
2016 Chevrolet #41 Stewart-Haas Racing Haas Automation Super Sport,,2016,Chevrolet,#41 Stewart-Haas Racing Haas Automation Super Sport,,,,,,,,NASCAR,Livery,,,7.7,6.9,8.7,,6.8,,725,450,3300,4.55,53,,NA,V,8,F,RWD,,,,,,,,stock,N. America,U.S.,,,2,L,4,,,4,7.5,,204.8,100.8,245.4,1.4,1.61,3.5,,8,FM6,FM6,,,,,DLC,,,,,,,,1,XBO
2016 Chevrolet #42 Chip Ganassi Racing Target Super Sport,,2016,Chevrolet,#42 Chip Ganassi Racing Target Super Sport,,,,,,,,NASCAR,Livery,,,7.7,6.9,8.7,,6.8,,725,450,3300,4.55,53,,NA,V,8,F,RWD,,,,,,,,stock,N. America,U.S.,,,2,L,4,,,4,7.5,,204.8,100.8,245.4,1.4,1.61,3.5,,8,FM6,FM6,,,,,DLC,,,,,,,,1,XBO
2016 Chevrolet #48 Hendrick Motorsports Lowe's Super Sport,#48 Lowe's Chevy,2016,Chevrolet,#48 Hendrick Motorsports Lowe's Super Sport,,,,,,,,NASCAR,Livery,,,7.7,6.9,8.7,,6.8,,725,450,3300,4.55,53,,NA,V,8,F,RWD,,,,,,,,stock,N. America,U.S.,,,2,L,4,,,4,7.5,,204.8,100.8,245.4,1.4,1.61,3.5,,8,FM6,FM6,,,,,DLC,,,,,,,,1,XBO
2016 Chevrolet #5 Hendrick Motorsports FARMERS Insurance Super Sport,,2016,Chevrolet,#5 Hendrick Motorsports FARMERS Insurance Super Sport,,,,,,,,NASCAR,Livery,,,7.7,6.9,8.7,,6.8,,725,450,3300,4.55,53,,NA,V,8,F,RWD,,,,,,,,stock,N. America,U.S.,,,2,L,4,,,4,7.5,,204.8,100.8,245.4,1.4,1.61,3.5,,8,FM6,FM6,,,,,DLC,,,,,,,,1,XBO
2016 Chevrolet #5 Hendrick Motorsports Great Clips Super Sport,,2016,Chevrolet,#5 Hendrick Motorsports Great Clips Super Sport,,,,,,,,NASCAR,Livery,,,7.7,6.9,8.7,,6.8,,725,450,3300,4.55,53,,NA,V,8,F,RWD,,,,,,,,stock,N. America,U.S.,,,2,L,4,,,4,7.5,,204.8,100.8,245.4,1.4,1.61,3.5,,8,FM6,FM6,,,,,DLC,,,,,,,,1,XBO
2016 Chevrolet #88 Hendrick Motorsports Nationwide Insurance Super Sport,,2016,Chevrolet,#88 Hendrick Motorsports Nationwide Insurance Super Sport,,,,,,,,NASCAR,Livery,,,7.7,6.9,8.7,,6.8,,725,450,3300,4.55,53,,NA,V,8,F,RWD,,,,,,,,stock,N. America,U.S.,,,2,L,4,,,4,7.5,,204.8,100.8,245.4,1.4,1.61,3.5,,8,FM6,FM6,,,,,DLC,,,,,,,,1,XBO
2016 Chevrolet Camaro Super Sport,Chevy Camaro '16,2016,Chevrolet,Camaro Super Sport,,,,,,,,Sport Touring,Factory,B,578,6.9,4.9,8.1,7.7,4.8,,455,455,3672,8.07,54,6162,NA,V,8,F,RWD,,,,,,,,stock,N. America,U.S.,Camaro,,2,L,4,,,4.2,9.382,12.483,186.8,140.5,343.6,1.12,1.12,5.182,,8,FM7,FM6,,,FM7,FH3,DLC,,,,,,,,3,XBO
2015 Chevrolet #1 Team Penske IndyCar,#1 Chevy Indy,2015,Chevrolet,#1 Team Penske IndyCar,,,,,,,,IndyCar,Livery,,,8.7,8.9,9.8,,8.6,,641,289,1570,2.45,42,,TT,V,6,M,RWD,,,,,,,,no,N. America,U.S.,,Yes,1,C,4,,,3.5,5.4,......,237.5,76.3,178.1,1.74,2.4,1.9,9/15/2015,8,FM6,FM6,,,,,FM6,,,,,,,,1,XBO
2015 Chevrolet #10 Konica Minolta Corvette Daytona Prototype,#10 Chevy DP,2015,Chevrolet,#10 Konica Minolta Corvette Daytona Prototype,,,,,,,,Forza P2,Race,P,932,7.1,8.3,9.4,,8.3,,580,460,2313,3.99,47,,NA,V,8,M,RWD,,,,,,,,stock,N. America,U.S.,,,2,L,4,,,2.77,5.51,10.483,191.4,101,229.1,1.61,2.16,2.74,,8,FM7,FM6,,,FM7,,DLC,,,,,,,,2,XBO
2015 Chevrolet #67 CFH Racing IndyCar,#67 Chevy Indy,2015,Chevrolet,#67 CFH Racing IndyCar,,,,,,,,IndyCar,Race,,,8.7,8.9,9.8,,8.6,,641,289,1570,2.45,42,,TT,V,6,M,RWD,,,,,,,,no,N. America,U.S.,,Yes,1,C,4,,,3.5,5.4,,237.5,76.4,178.2,1.74,2.4,1.9,9/15/2015,8,FM6,FM6,,,,,FM6,,,,,,,,1,XBO
2015 Chevrolet #9 Target Chip Ganassi Racing IndyCar,#9 Chevy Indy,2015,Chevrolet,#9 Target Chip Ganassi Racing IndyCar,,,,,,,,IndyCar,Livery,,,8.8,8.9,9.8,,8.6,,641,289,1570,2.45,42,,TT,V,6,M,RWD,,,,,,,,no,N. America,U.S.,,Yes,1,C,4,,,3.5,5.4,,237.5,76.3,178.1,1.74,2.4,1.9,9/15/2015,8,FM6,FM6,,,,,FM6,,,,,,,,1,XBO
2015 Chevrolet Camaro Z/28,Chevy Camaro '15,2015,Chevrolet,Camaro Z/28,Autoshow,,,,86000,Rare,,Track Toys,Factory,A,797,6.7,6.8,5.5,5.4,7.2,4.4,505,481,3837,7.6,52,7008,NA,V,8,F,RWD,305,Both,Forza,"640, 700, 750, 800",,,"TT, PDS",stock,N. America,U.S.,Camaro,,2,L,4,,,4.384,9.482,,182.6,93.1,221.2,1.13,1.21,5.098,,7,FH5,FH2,FH5,FH4,,FH3,FM6,DLC,,,,,,,5,XBO
2015 Chevrolet Corvette Z06,Corvette '15,2015,Chevrolet,Corvette Z06,Autoshow,,,,110000,Rare,,Modern Muscle,Factory,S1,852,7.8,7,6,6.5,7.7,4.4,650,650,3536,5.44,50,6162,PDS,V,8,F,RWD,335,Both,Forza,800,,,none,eng,N. America,U.S.,Corvette,,2,L,4,,,3.273,7.549,,214,89.1,212.9,1.16,1.29,4.276,,7,FH5,FH2,FH5,FH4,FM7,FH3,FM6,DLC,,,,,,,6,XBO
2015 Chevrolet Corvette Z06 Forza Edition,Corvette '15 FE,2015,Chevrolet,Corvette Z06 Forza Edition,,,,,,,,Sport GT,Upgraded,S,771,6.8,6.3,8.8,,6.3,,650,650,2955,4.55,50,,PDS,V,8,F,RWD,,,,,,,,eng,N. America,U.S.,Corvette,,2,L,4,,,3.2,7.2,11.183,182.3,113.3,280.9,1.35,1.41,4,10/3/2017,10,FM7,FM7,,,FE,,,,,,,,,,1,XBO
2015 Chevrolet Corvette Z06 Horizon Edition,,2015,Chevrolet,Corvette Z06 Horizon Edition,,,,,,,,Modern Muscle,Upgraded,S1,883,7.6,7.9,8.8,8.4,9.7,,650,650,3536,5.44,50,6162,PDS,V,8,F,RWD,,,,,,,,eng,N. America,U.S.,,,2,L,4,,,,,,,,,,,0,9/27/2016,9,FH3,FH3,,,,HE,,,,,,,,,1,XBO
2014 Chevrolet #3 Corvette Racing Corvette C7.R,#3 Chevy C7.R,2014,Chevrolet,#3 Corvette Racing Corvette C7.R,,,,,,,,Forza GT,Race,R,814,6.7,7.1,8.8,8.5,6.9,,491,485,2745,5.59,50,5500,NA,V,8,F,RWD,,,,,,,,stock,N. America,U.S.,Corvette,,2,L,4,,,3.8,7.4,11.4,181.1,112.5,263.1,1.45,1.66,3.6,9/15/2015,8,FM7,FM6,,,FM7,DLC,FM6,,,,,,,,3,XBO
2014 Chevrolet #4 ROAL Motorsport RML Cruze TC1 WTCC,#4 Chevy Cruze,2014,Chevrolet,#4 ROAL Motorsport RML Cruze TC1 WTCC,,,,,,,,Forza Touring Cars,Race,S,750,6,6.6,8.3,,6.4,,370,332,2425,6.55,65,,T,Inline,4,F,FWD,,,,,,,,no,N. America,U.S.,,,4,L,4,,,4.94,9.223,12.483,160.2,122.3,291.8,1.35,1.5,4.283,,8,FM7,FM6,,,FM7,,DLC,,,,,,,,2,XBO
2014 Chevrolet Corvette Stingray,,2014,Chevrolet,Corvette Stingray,,,,,,,,Modern GT,Factory,A,797,7.6,7.1,8.3,8.4,8.5,,455,460,3444,7.57,42,2200,TT,V,8,F,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,3.5,6.5,,229.1,74.8,178.6,1.65,2.27,3,,6,FH2,FM5,,,,,,FH2,DLC,,,,,,2,XBO
2014 Chevrolet Super Sport,Chevy SuperSport,2014,Chevrolet,Super Sport,,,,,,,,Sport Touring,Factory,B,523,6.6,4.6,7.7,7.8,4.6,,415,415,3975,9.58,50,6162,NA,V,8,F,RWD,275,,,,,,,stock,N. America,U.S.,,,4,L,4,,,4.483,10.482,12.583,177.8,135.5,345.2,1.08,1.05,5.999,,7,FM7,FH2,,,FM7,FH3,FM6,DLC,,,,,,,4,XBO
2014 Chevrolet Super Sport Forza Edition,SuperSport FE,2014,Chevrolet,Super Sport Forza Edition,,,,,,,,Sport Touring,Upgraded,A,673,7.1,5.3,8.6,,5.4,,515,516,3505,6.81,50,,NA,V,8,F,RWD,,,,,,,,stock,N. America,U.S.,,,4,L,4,,,4.5,10.5,11.5,190.9,133.2,327.2,1.2,1.17,6,10/3/2017,10,FM7,FM7,,,FE,,,,,,,,,,1,XBO
2013 Chevrolet #1 Andretti Autosport Dallara DW12,,2013,Chevrolet,#1 Andretti Autosport Dallara DW12,,,,,,,,Modern Indy,Race,A,607,7.7,4.9,8.4,8.5,5,,680,298,1534,2.26,49,6200,NA,V,6,M,RWD,,,,,,,,,N. America,U.S.,,Yes,1,C,4,,,3.883,8.782,,205.9,110.9,279.7,1.16,1.16,4.899,11/22/2013,6,FM5,FM5,,,,,,,FM5,,,,,,1,XBO
2013 Chevrolet #12 Team Penske Dallara DW12,,2013,Chevrolet,#12 Team Penske Dallara DW12,,,,,,,,Modern Indy,Livery,,,,,,,,,680,298,1534,2.26,,,,,6,M,RWD,,,,,,,,,N. America,U.S.,,Yes,1,C,4,,,3.5,,,229.1,,,,,,11/22/2013,6,FM5,FM5,,,,,,,FM5,,,,,,1,XBO
2012 Chevrolet Camaro ZL1,Chevy Camaro '12,2012,Chevrolet,Camaro ZL1,,,,,,,,Sport Touring,Factory,A,631,7.4,5.2,8.2,,5.2,,580,557,4051,6.98,52,,PDS,V,8,F,RWD,,,,,,,,eng,N. America,U.S.,Camaro,,2,L,4,,,3.817,8.7,11.917,196.1,127.8,323.6,1.16,1.17,4.883,,4,FM7,FM4,,,FM7,,,FH2,FM5,FH1,DLC,,,,5,XBO
2012 Chevrolet Camaro ZL1 (#88 Mt Dew Xbox livery),,2012,Chevrolet,Camaro ZL1 (#88 Mt Dew Xbox livery),DLC promo,,,,,,,Modern Muscle Cars,Livery,,,,,,,,,580,557,4051,6.98,,,,,8,F,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,3.8,,,195.9,,,,,,,6,FM5,FM5,,,,,,,DLC,,,,,,1,XBO
2011 Chevrolet #04 Chevrolet Racing Monte Carlo SS Stock Car,,2011,Chevrolet,#04 Chevrolet Racing Monte Carlo SS Stock Car,,,,,,,,AmStock,Livery,R3,730,,,,,,,825,650,3400,4.12,,,,,8,F,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,3.011,,,211.9,,,,,,5/13/2011,4,FM4,FM4,,,,,,,,,FM4,,,,1,360
2011 Chevrolet #4 Corvette Racing ZR1,#4 Chevy ZR1,2011,Chevrolet,#4 Corvette Racing ZR1,,,,,,,,Forza GT,Race,R,825,7,7.1,8.8,,6.9,,485,475,2745,5.66,50,,NA,V,8,F,RWD,,,,,,,,stock,N. America,U.S.,Corvette,,2,L,4,,,3.3,7.2,11.333,189.1,116.2,274.3,1.45,1.66,3.9,,4,FM7,FM4,,,FM7,,,,FM5,,DLC,,,,3,XBO
2011 Chevrolet Spark,,2011,Chevrolet,Spark,,,,,,,,City,Factory,F,116,,,,,,,81,69,1905,23.52,,,,,4,F,FWD,,,,,,,,,N. America,U.S.,,,3,L,4,,,12.4,,,106.5,,,,,,5/13/2011,4,FM4,FM4,,,,,,,,,FM4,,,,1,360
2011 Chevrolet Volt,,2011,Chevrolet,Volt,,,,,,,,Sedan,Factory,F,190,,,,,,,149,272,3825,25.67,,,,,4,F,FWD,,,,,,,,,N. America,U.S.,,,4LB,L,4,,,8.8,,,133.1,,,,,,5/13/2011,4,FM4,FM4,,,,,,,,,FM4,,,,1,360
2010 Chevrolet #55 Level 5 Motorsports Oreca FLM09,#55 Chevy FLM09,2010,Chevrolet,#55 Level 5 Motorsports Oreca FLM09,,,,,,,,Forza P2,Race,P,934,6.7,8.5,9.3,,8.5,,430,464,1984,4.61,45,,NA,V,8,M,RWD,,,,,,,,stock,N. America,U.S.,,Yes,2,R,4,,,3.083,6,10.7,181.9,100.3,217.3,1.64,2.29,2.917,5/13/2011,4,FM7,FM4,,,FM7,,,,,,FM4,,,,2,XBO
2010 Chevrolet #89 Intersport Racing Oreca FLM09,#89 Chevy FLM09,2010,Chevrolet,#89 Intersport Racing Oreca FLM09,,,,,,,,Forza P2,Livery,P,934,6.8,8.5,9.3,,8.5,,430,464,1984,4.61,45,,NA,V,8,M,RWD,,,,,,,,stock,N. America,U.S.,,Yes,2,R,4,,,3.1,6.017,10.7,182.3,100.6,220.4,1.64,2.29,2.917,5/13/2011,4,FM7,FM4,,,FM7,,,,,,FM4,,,,2,XBO
2010 Chevrolet #99 Green Earth Team Gunnar Oreca FLM09,#99 Chevy FLM09,2010,Chevrolet,#99 Green Earth Team Gunnar Oreca FLM09,,,,,,,,Forza P2,Livery,P,934,6.8,8.5,9.3,,8.5,,430,464,1984,4.61,45,,NA,V,8,M,RWD,,,,,,,,stock,N. America,U.S.,,Yes,2,R,4,,,3.1,6.017,10.7,182.3,100.6,220.4,1.64,2.29,2.917,5/13/2011,4,FM7,FM4,,,FM7,,,,,,FM4,,,,2,XBO
2010 Chevrolet Camaro SS,,2010,Chevrolet,Camaro SS,,,,,,,,Sports,Factory,B,481,,,,,,,422,408,3860,9.15,,,,,8,F,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,4.715,,,177.7,,,,,,5/27/2009,3,FM4,FM3,,,,,,,,,FM4,FM3,,,2,360
2010 Chevrolet Cobalt SS Turbocharged,,2010,Chevrolet,Cobalt SS Turbocharged,,,,,,,,Sports,Factory,B,455,,,,,,,260,260,2926,11.25,,,,,4,F,FWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,5.5,,,165.3,,,,,,5/13/2011,4,FM4,FM4,,,,,,,,,FM4,,,,1,360
2010 Chevrolet Corvette Grand Sport,,2010,Chevrolet,Corvette Grand Sport,,,,,,,,Sports,Factory,A,561,,,,,,,436,428,3311,7.59,,,,,8,F,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,3.9,,,199.5,,,,,,,3,FM4,FM3,,,,,,,,,FM4,DLC,,,2,360
2010 Chevrolet Corvette Grand Sport Convertible,,2010,Chevrolet,Corvette Grand Sport Convertible,,,,,,,,Open Top,Factory,A,573,,,,,,,436,428,3381,7.75,,,,,8,F,RWD,,,,,,,,,N. America,U.S.,,Yes,2,L,4,,,,,,,,,,,,10/23/2012,5,FH1,FH1,,,,,,,,FH1,,,,,1,360
2009 Chevrolet Aveo5 LT,,2009,Chevrolet,Aveo5 LT,,,,,,,,SubCom,Factory,F,102,3.8,4.8,3,3.3,4.6,,107,,2547,23.8,,,,,4,F,FWD,,,,,,,,,N. America,U.S.,,,5,L,4,,,,,,,,,,,,5/27/2009,3,FM3,FM3,,,,,,,,,,FM3,,,1,360
2009 Chevrolet Corvette ZR1,Corvette '09,2009,Chevrolet,Corvette ZR1,Autoshow,,,,125000,Rare,,Modern Muscle,Factory,S1,809,7.8,6.2,5.5,4.6,6.6,4.4,638,604,3350,5.25,52,6162,PDS,V,8,F,RWD,335,Both,Forza,"640, 800",,,TT,eng,N. America,U.S.,Corvette,,2,L,4,,,3.276,7.385,11.4,214.3,102.6,246.4,1.04,1.09,4.109,,3,FH5,FM3,FH5,FH4,FM7,FH3,FM6,FH2,FM5,FH1,FM4,DLC,,,10,XBO
2008 Chevrolet Monte Carlo SS Stock Car,,2008,Chevrolet,Monte Carlo SS Stock Car,,,,,,,,Coupe,Livery,R3,715,,,,,,,825,,3400,4.12,,,,,,F,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,,5/27/2009,3,FM3,FM3,,,,,,,,,,FM3,,,1,360
2007 Chevrolet #4 Corvette Racing C6.R,,2007,Chevrolet,#4 Corvette Racing C6.R,,,,,,,,GT1,Race,R2,828,6.7,7.5,8.2,7.1,7.6,,,,,#DIV/0!,,,,,8,F,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,0,5/27/2009,3,FM3,FM3,,,,,,,,,,FM3,,,1,360
2006 Chevrolet #4 Corvette Racing C6.R,,2006,Chevrolet,#4 Corvette Racing C6.R,,,,,,,,GT1,Race,R2,823,,,,,,,593,639,2535,4.27,,,,,8,F,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,3.22,,,185.4,,,,,,5/29/2007,2,FM4,FM2,,,,,,,,,FM4,FM3,FM2,,3,360
2006 Chevrolet Corvette Z06,,2006,Chevrolet,Corvette Z06,,,,,,,,Sports,Factory,A,589,,,,,,,505,470,3150,6.24,,,,,8,F,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,3.7,,,207.1,,,,,,5/29/2007,2,FM4,FM2,,,,,,,,,FM4,FM3,FM2,,3,360
2005 Chevrolet #31 Whelen Engineering Corvette Z06,,2005,Chevrolet,#31 Whelen Engineering Corvette Z06,,,,,,,,GT3,Race,R3,713,,,,,,,525,,2950,5.62,,,,,,F,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,,5/29/2007,2,FM3,FM2,,,,,,,,,,FM3,FM2,,2,360
2005 Chevrolet #99 Tiger Racing Corvette Z06,,2005,Chevrolet,#99 Tiger Racing Corvette Z06,,,,,,,,GT3,Livery,R3,711,7,6.7,7.8,7.1,6.6,,525,,2950,5.62,,,,,,F,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,,5/29/2007,2,FM3,FM2,,,,,,,,,,FM3,FM2,,2,360
2005 Chevrolet Cobalt SS Coupe,,2005,Chevrolet,Cobalt SS Coupe,,,,,,,,Coupe,Factory,D,278,5.2,4.9,3.9,4.8,4.7,,205,,2970,14.49,,,,,4,F,FWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,,5/29/2007,2,FM3,FM2,,,,,,,,,,FM3,FM2,,2,360
2005 Chevrolet Corvette C6,,2005,Chevrolet,Corvette C6,,,,,,,,,Factory,A3,,,,,,,,,,,#DIV/0!,,,,,,F,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,0,5/3/2005,1,FM1,FM1,,,,,,,,,,,,FM1,1,360
2004 Chevrolet #3 Corvette Racing C5.R,,2004,Chevrolet,#3 Corvette Racing C5.R,,,,,,,,GT1,Race,R2,815,,,,,,,620,495,2510,4.05,,,,,8,F,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,3.5,,,184.9,,,,,,5/3/2005,1,FM4,FM1,,,,,,,,,FM4,FM3,FM2,FM1,4,360
2003 Chevrolet #50 Corvette Racing C5.R,,2003,Chevrolet,#50 Corvette Racing C5.R,,,,,,,,GT1,Livery,R2,807,,,,,,,620,,2510,4.05,,,,,,F,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,,5/27/2009,3,FM3,FM3,,,,,,,,,,FM3,,,1,360
2003 Chevrolet #73 3R-Racing Corvette Z06,,2003,Chevrolet,#73 3R-Racing Corvette Z06,,,,,,,,GT3,Livery,R3,712,,,,,,,525,,2950,5.62,,,,,,F,RWD,,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,,5/3/2005,1,FM3,FM1,,,,,,,,,,FM3,FM2,FM1,3,360
2003 Chevrolet Corvette Guldstrand Edition,,2003,Chevrolet,Corvette Guldstrand Edition,,,,,,,,,Tuner,,790,,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,N. America,U.S.,,,2,L,4,,,,,,,,,,,,5/3/2005,1,FM2,FM1,,,,,,,,,,,FM2,FM1,2,360
2002 Chevrolet Camaro 35th Anniversary Super Sport,Chevy Camaro '02,2002,Chevrolet,Camaro 35th Anniversary Super Sport,,,,,,,,Sport Touring Icons,Factory,C,481,6.5,4.7,7.5,,4.5,,325,350,3554,10.94,55,,NA,V,8,F,RWD,,,,,,,,stock,N. America,U.S.,Camaro,,2,L,4,,,5.19,11.84,13.5,164.1,134.5,339.5,1.1,1.06,6.65,5/3/2005,1,FM7,FM1,,,FM7,,FM6,,FM5,,FM4,FM3,Uni,FM1,7,XBO
2002 Chevrolet Corvette Z06,Corvette' 02,2002,Chevrolet,Corvette Z06,Autoshow,,,,35000,Common,,Retro Muscle,Factory,A,722,7.2,5.8,4.6,4.5,3.9,4.5,405,400,3120,7.7,56,5666,NA,V,8,F,RWD,295,Both,Forza,"415, 475",,,"TT, PDS, CS",stock,N. America,U.S.,Corvette,,2,L,4,,,4.5,9.9,12.8,191,142.4,348.6,0.98,1.03,5.4,5/3/2005,1,FH5,FM1,FH5,FH4,FM7,FH3,FM6,,FM5,,FM4,FM3,FM2,FM1,10,XBO
